timestamp_ns,packet_len,direction,emulation_mode
154561364701015,30474,in,oai-rfsim-netns-veth-bpftime
154561364709672,30474,in,oai-rfsim-netns-veth-bpftime
154561364721644,30474,in,oai-rfsim-netns-veth-bpftime
154561364730221,30474,in,oai-rfsim-netns-veth-bpftime
154561364741285,1410,in,oai-rfsim-netns-veth-bpftime
154561364787624,66,in,oai-rfsim-netns-veth-bpftime
154561364801347,66,in,oai-rfsim-netns-veth-bpftime
154561364808386,98,in,oai-rfsim-netns-veth-bpftime
154561364817311,30474,in,oai-rfsim-netns-veth-bpftime
154561364823506,378,in,oai-rfsim-netns-veth-bpftime
154561364832010,30474,in,oai-rfsim-netns-veth-bpftime
154561364836470,410,in,oai-rfsim-netns-veth-bpftime
154561364845877,30474,in,oai-rfsim-netns-veth-bpftime
154561364850548,410,in,oai-rfsim-netns-veth-bpftime
154561364859673,30474,in,oai-rfsim-netns-veth-bpftime
154561364870764,410,in,oai-rfsim-netns-veth-bpftime
154561364887356,66,in,oai-rfsim-netns-veth-bpftime
154561364892978,66,in,oai-rfsim-netns-veth-bpftime
154561364897867,98,in,oai-rfsim-netns-veth-bpftime
154561364902881,30474,in,oai-rfsim-netns-veth-bpftime
154561364912143,30474,in,oai-rfsim-netns-veth-bpftime
154561364916097,722,in,oai-rfsim-netns-veth-bpftime
154561364923826,30474,in,oai-rfsim-netns-veth-bpftime
154561364936313,30474,in,oai-rfsim-netns-veth-bpftime
154561364955861,754,in,oai-rfsim-netns-veth-bpftime
154561364973128,66,in,oai-rfsim-netns-veth-bpftime
154561364981353,66,in,oai-rfsim-netns-veth-bpftime
154561364987017,98,in,oai-rfsim-netns-veth-bpftime
154561364991757,30474,in,oai-rfsim-netns-veth-bpftime
154561365002160,30474,in,oai-rfsim-netns-veth-bpftime
154561365006001,722,in,oai-rfsim-netns-veth-bpftime
154561365014153,30474,in,oai-rfsim-netns-veth-bpftime
154561365023196,30474,in,oai-rfsim-netns-veth-bpftime
154561365047794,754,in,oai-rfsim-netns-veth-bpftime
154561365065032,66,in,oai-rfsim-netns-veth-bpftime
154561365070090,66,in,oai-rfsim-netns-veth-bpftime
154561365075422,98,in,oai-rfsim-netns-veth-bpftime
