cb_index,llr_len,decode_us,bit_diff,e2e_us,emulation_mode,source
3054,19200,11179.5,-1,11555.3,gcp_kvm_cxl_bpftime_node1,measured
3055,19200,10487.0,-1,10781.2,gcp_kvm_cxl_bpftime_node1,measured
3056,19200,11084.9,-1,11554.0,gcp_kvm_cxl_bpftime_node1,measured
3057,19200,11022.0,-1,11471.8,gcp_kvm_cxl_bpftime_node1,measured
3058,19200,10929.0,-1,11453.3,gcp_kvm_cxl_bpftime_node1,measured
3059,19200,11042.8,-1,11371.8,gcp_kvm_cxl_bpftime_node1,measured
3060,19200,11305.8,-1,11721.1,gcp_kvm_cxl_bpftime_node1,measured
3061,19200,10984.7,-1,11408.1,gcp_kvm_cxl_bpftime_node1,measured
3062,19200,10978.8,-1,11517.5,gcp_kvm_cxl_bpftime_node1,measured
3063,19200,11253.1,-1,11688.1,gcp_kvm_cxl_bpftime_node1,measured
3064,19200,11260.7,-1,11706.3,gcp_kvm_cxl_bpftime_node1,measured
3065,19200,10801.4,-1,11340.3,gcp_kvm_cxl_bpftime_node1,measured
3066,19200,11110.5,-1,11574.3,gcp_kvm_cxl_bpftime_node1,measured
3067,19200,10888.1,-1,11101.2,gcp_kvm_cxl_bpftime_node1,measured
3068,19200,11375.8,-1,11773.8,gcp_kvm_cxl_bpftime_node1,measured
3069,19200,11207.3,-1,11634.2,gcp_kvm_cxl_bpftime_node1,measured
3070,19200,10870.9,-1,11284.3,gcp_kvm_cxl_bpftime_node1,measured
3071,19200,10875.5,-1,11241.0,gcp_kvm_cxl_bpftime_node1,measured
3072,19200,11308.2,-1,11748.6,gcp_kvm_cxl_bpftime_node1,measured
3073,19200,11214.5,-1,11573.3,gcp_kvm_cxl_bpftime_node1,measured
3074,19200,11072.7,-1,11263.9,gcp_kvm_cxl_bpftime_node1,measured
3075,19200,11066.5,-1,11492.1,gcp_kvm_cxl_bpftime_node1,measured
3076,19200,10587.5,-1,10958.7,gcp_kvm_cxl_bpftime_node1,measured
